#36DIP: R-in (real)
#Freq [MHz]	R-in (real) [ohm]
1	2.35275
1.2	3.28763
1.4	4.59383
1.6	6.37494
1.8	8.73053
2	11.7765
2.2	15.6407
2.4	20.4584
2.6	26.3732
2.8	33.5389
3	42.1227
3.2	52.3098
3.4	64.3092
3.6	78.3596
3.8	94.734
4	113.754
4.2	135.823
4.4	161.443
4.6	191.267
4.8	226.174
5	267.372
5.2	316.58
5.4	376.302
5.6	450.292
5.8	544.347
6	667.745
6.2	835.966
6.4	1076.11
6.6	1437.98
6.8	2016.11
7	2980
7.2	4513.83
7.4	6089.31
7.6	5560.01
7.8	3499.67
8	1998.53
8.2	1187.76
8.4	754.21
8.6	509.65
8.8	363.393
9	271.384
9.2	211.083
9.4	170.304
9.6	142.125
9.8	122.457
10	108.814
10.2	99.6649
10.4	94.0691
10.6	91.4799
10.8	91.6198
11	94.4187
11.2	99.9707
11.4	108.528
11.6	120.491
11.8	136.438
12	157.14
12.2	183.64
12.4	217.304
12.6	259.945
12.8	314.048
13	382.959
13.2	471.402
13.4	586.003
13.6	736.23
13.8	935.8
14	1203.93
14.2	1565.75
14.4	2047.37
14.6	2651.36
14.8	3293.37
15	3727.81
15.2	3662
15.4	3104.49
15.6	2372.78
15.8	1725.76
16	1239.18
16.2	894.948
16.4	655.296
16.6	488.049
16.8	370.34
17	286.817
17.2	227.292
17.4	184.968
17.6	155.257
17.8	135.033
18	122.134
18.2	115.073
18.4	112.834
18.6	114.74
18.8	120.381
19	129.592
19.2	142.352
19.4	158.84
19.6	179.425
19.8	204.699
20	235.457
20.2	273.046
20.4	319.112
20.6	376.046
20.8	447.23
21	537.488
21.2	653.784
21.4	806.043
21.6	1009.15
21.8	1283.08
22	1652.27
22.2	2134.47
22.4	2703.17
22.6	3215.39
22.8	3402.4
23	3108.99
23.2	2513.69
23.4	1897.78
23.6	1400.21
23.8	1035.83
24	777.072
24.2	593.56
24.4	462.086
24.6	366.66
24.8	296.523
25	244.704
25.2	206.378
25.4	178.29
25.6	158.236
25.8	144.712
26	136.705
26.2	133.551
26.4	134.853
26.6	140.4
26.8	150.234
27	164.488
27.2	183.319
27.4	207.563
27.6	237.774
27.8	274.94
28	320.396
28.2	375.941
28.4	444.009
28.6	527.906
28.8	632.132
29	762.804
29.2	928.103
29.4	1138.49
29.6	1405.86
29.8	1739.07
30	2133.21
