#36DIP: X-in (imag)
#Freq [MHz]	X-in (imag) [ohm]
1	-2455.72
1.2	-1987.13
1.4	-1642.13
1.6	-1373.94
1.8	-1156.5
2	-974.138
2.2	-816.84
2.4	-677.882
2.6	-552.566
2.8	-437.487
3	-330.091
3.2	-228.397
3.4	-130.813
3.6	-36.0141
3.8	57.1506
4	149.739
4.2	242.789
4.4	337.368
4.6	434.641
4.8	535.947
5	642.884
5.2	757.433
5.4	882.095
5.6	1020.1
5.8	1175.62
6	1354.1
6.2	1562.28
6.4	1807.46
6.6	2093.07
6.8	2400.04
7	2616.32
7.2	2308.98
7.4	509.439
7.6	-2319.11
7.8	-3444.02
8	-3222.69
8.2	-2721.13
8.4	-2262.81
8.6	-1892.26
8.8	-1596.69
9	-1357.58
9.2	-1159.94
9.4	-992.822
9.6	-848.375
9.8	-720.907
10	-606.213
10.2	-501.137
10.4	-403.226
10.6	-310.551
10.8	-221.523
11	-134.821
11.2	-49.2893
11.4	36.0991
11.6	122.304
11.8	210.239
12	300.809
12.2	394.934
12.4	493.566
12.6	597.692
12.8	708.344
13	826.504
13.2	953.035
13.4	1088.26
13.6	1231.25
13.8	1378.28
14	1519.21
14.2	1630.33
14.4	1661.13
14.6	1515.79
14.8	1057.43
15	215.231
15.2	-807.6
15.4	-1602
15.6	-1971.71
15.8	-2014.07
16	-1890.08
16.2	-1704.4
16.4	-1507.51
16.6	-1319.7
16.8	-1147.76
17	-992.365
17.2	-852.149
17.4	-725.08
17.6	-609.009
17.8	-502.161
18	-402.776
18.2	-309.387
18.4	-220.715
18.6	-135.623
18.8	-53.0943
19	27.7446
19.2	107.79
19.4	187.88
19.6	268.846
19.8	351.539
20	436.858
20.2	525.734
20.4	619.177
20.6	718.233
20.8	823.913
21	937.013
21.2	1057.67
21.4	1184.35
21.6	1311.91
21.8	1426.79
22	1498.2
22.2	1462.95
22.4	1213.44
22.6	637.254
22.8	-223.568
23	-1061.91
23.2	-1578.19
23.4	-1750.62
23.6	-1711.9
23.8	-1579.02
24	-1416.21
24.2	-1252.11
24.4	-1097.57
24.6	-955.623
24.8	-826.038
25	-707.287
25.2	-598.188
25.4	-496.882
25.6	-401.925
25.8	-312.051
26	-226.167
26.2	-143.327
26.4	-62.7035
26.6	16.4362
26.8	94.7544
27	172.859
27.2	251.433
27.4	330.812
27.6	411.626
27.8	494.388
28	579.575
28.2	667.598
28.4	758.712
28.6	852.86
28.8	949.353
29	1046.27
29.2	1139.31
29.4	1219.73
29.6	1270.61
29.8	1261.4
30	1141.93
